size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
467329,2.303,0,4,2,2,0,0
450055,0.971,1,0,0,1,2,0
450055,0.9,10,1,0,1,1,0
309775,2.525,11,2,1,2,1,1
337954,2.449,12,1,0,2,0,2
335556,0.336,13,1,2,0,1,1
309650,2.465,14,3,1,2,2,2
299076,2.38,15,0,3,2,3,2
300723,0.94,16,4,2,1,1,2
450055,0.896,17,1,0,1,3,0
299187,2.354,18,2,3,2,1,1
300758,0.93,19,1,2,1,3,1
300723,2.384,2,1,2,2,2,2
337954,2.408,20,2,0,2,3,2
300723,2.365,21,1,2,2,3,2
468786,0.299,22,3,2,0,1,0
316986,0.42,23,3,1,0,3,1
316595,0.414,24,0,1,0,0,2
309775,2.498,25,3,1,2,3,1
339078,0.957,26,4,0,1,3,1
463728,2.386,27,2,1,2,2,0
309650,0.961,28,1,1,1,1,2
316986,0.368,29,2,1,0,0,1
299187,0.93,3,3,3,1,0,1
316986,0.419,30,1,1,0,2,1
299187,0.977,31,4,3,1,3,1
470649,0.344,32,4,3,0,1,0
299076,0.943,33,4,3,1,2,2
337954,2.497,34,4,0,2,2,2
467329,0.877,35,1,2,1,0,0
467006,0.87,36,1,3,1,0,0
300723,2.339,37,0,2,2,0,2
463728,0.956,38,4,1,1,1,0
334018,0.315,39,0,3,0,0,2
468786,0.29,4,2,2,0,1,0
299187,2.416,40,0,3,2,0,1
299076,0.896,41,1,3,1,0,2
309775,0.975,42,3,1,1,2,1
335556,0.379,43,1,2,0,2,1
467329,0.928,44,2,2,1,2,0
299076,2.411,45,1,3,2,1,2
337954,2.423,46,0,0,2,2,2
316595,0.418,47,2,1,0,2,2
299187,0.914,48,3,3,1,2,1
300758,2.371,49,4,2,2,3,1
335556,0.365,5,0,2,0,3,1
463728,2.412,50,0,1,2,0,0
300758,0.946,51,3,2,1,1,1
316986,0.413,52,0,1,0,0,1
309775,2.481,53,3,1,2,2,1
339078,2.415,54,0,0,2,2,1
337954,2.405,55,3,0,2,0,2
467329,0.87,56,1,2,1,2,0
337954,2.466,57,0,0,2,3,2
316595,0.445,58,1,1,0,2,2
467006,2.344,59,3,3,2,0,0
467329,0.872,6,3,2,1,3,0
463728,2.43,60,3,1,2,2,0
339078,0.945,61,3,0,1,1,1
299187,2.377,62,2,3,2,2,1
467329,2.31,63,0,2,2,0,0
316595,0.457,64,4,1,0,0,2
300758,2.4,65,3,2,2,0,1
316986,0.412,66,3,1,0,0,1
467329,2.372,67,2,2,2,2,0
300723,2.362,68,4,2,2,3,2
300723,0.911,69,2,2,1,2,2
300758,2.329,7,2,2,2,0,1
309775,0.955,70,1,1,1,1,1
309775,0.957,71,0,1,1,2,1
264850,0.418,72,4,0,0,2,1
337954,1.039,73,2,0,1,3,2
334015,0.345,74,1,3,0,0,1
269688,0.322,75,2,0,0,1,0
334015,0.388,76,3,3,0,0,1
335556,0.362,77,0,2,0,1,1
299187,1.02,78,2,3,1,2,1
375224,0.412,79,3,1,0,0,0
450055,0.934,8,4,0,1,1,0
375224,0.433,80,0,1,0,0,0
337954,1.013,81,0,0,1,0,2
269688,0.395,82,1,0,0,2,0
299187,2.466,83,2,3,2,0,1
300758,2.391,84,3,2,2,2,1
339078,2.364,85,0,0,2,0,1
450055,0.974,86,3,0,1,2,0
467329,2.294,87,2,2,2,1,0
300723,0.933,88,3,2,1,2,2
299076,0.898,89,4,3,1,0,2
300723,2.37,9,0,2,2,2,2
300723,0.93,90,4,2,1,2,2
264850,0.375,91,2,0,0,1,1
463728,0.938,92,4,1,1,0,0
316595,0.43,93,4,1,0,1,2
334018,0.351,94,1,3,0,3,2
337954,1.046,95,3,0,1,1,2
262171,0.555,96,3,0,0,3,2
299076,2.466,97,0,3,2,1,2
299187,2.413,98,0,3,2,1,1
300758,0.933,99,2,2,1,3,1
