size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
176757,1.829,0,4,2,2,0,0
85647,0.761,1,0,0,1,2,0
85647,0.732,10,1,0,1,1,0
65467,1.83,11,2,1,2,1,1
42674,1.809,12,1,0,2,0,2
80961,0.285,13,1,2,0,1,1
63447,1.824,14,3,1,2,2,2
92281,1.917,15,0,3,2,3,2
83285,0.831,16,4,2,1,1,2
85647,0.765,17,1,0,1,3,0
96474,1.802,18,2,3,2,1,1
85739,0.754,19,1,2,1,3,1
83285,1.95,2,1,2,2,2,2
42674,1.889,20,2,0,2,3,2
83285,1.88,21,1,2,2,3,2
156609,0.264,22,3,2,0,1,0
47606,0.282,23,3,1,0,3,1
45097,0.331,24,0,1,0,0,2
65467,1.923,25,3,1,2,3,1
43562,0.802,26,4,0,1,3,1
121619,1.887,27,2,1,2,2,0
63447,0.829,28,1,1,1,1,2
47606,0.297,29,2,1,0,0,1
96474,0.779,3,3,3,1,0,1
47606,0.31,30,1,1,0,2,1
96474,0.767,31,4,3,1,3,1
202878,0.258,32,4,3,0,1,0
92281,1.001,33,4,3,1,2,2
42674,1.911,34,4,0,2,2,2
176757,0.793,35,1,2,1,0,0
209994,0.732,36,1,3,1,0,0
83285,1.919,37,0,2,2,0,2
121619,0.764,38,4,1,1,1,0
96406,0.373,39,0,3,0,0,2
156609,0.295,4,2,2,0,1,0
96474,1.893,40,0,3,2,0,1
92281,0.944,41,1,3,1,0,2
65467,0.804,42,3,1,1,2,1
80961,0.324,43,1,2,0,2,1
176757,0.884,44,2,2,1,2,0
92281,2.118,45,1,3,2,1,2
42674,1.841,46,0,0,2,2,2
45097,0.347,47,2,1,0,2,2
96474,0.736,48,3,3,1,2,1
85739,1.951,49,4,2,2,3,1
80961,0.324,5,0,2,0,3,1
121619,1.925,50,0,1,2,0,0
85739,0.797,51,3,2,1,1,1
47606,0.256,52,0,1,0,0,1
65467,1.852,53,3,1,2,2,1
43562,1.827,54,0,0,2,2,1
42674,1.832,55,3,0,2,0,2
176757,0.735,56,1,2,1,2,0
42674,1.797,57,0,0,2,3,2
45097,0.351,58,1,1,0,2,2
209994,1.766,59,3,3,2,0,0
176757,0.758,6,3,2,1,3,0
121619,1.827,60,3,1,2,2,0
43562,0.747,61,3,0,1,1,1
96474,1.744,62,2,3,2,2,1
176757,1.722,63,0,2,2,0,0
45097,0.319,64,4,1,0,0,2
85739,1.793,65,3,2,2,0,1
47606,0.269,66,3,1,0,0,1
176757,2.044,67,2,2,2,2,0
83285,1.97,68,4,2,2,3,2
83285,0.852,69,2,2,1,2,2
85739,1.755,7,2,2,2,0,1
65467,0.747,70,1,1,1,1,1
65467,0.823,71,0,1,1,2,1
23530,0.261,72,4,0,0,2,1
42674,0.822,73,2,0,1,3,2
99721,0.277,74,1,3,0,0,1
58660,0.259,75,2,0,0,1,0
99721,0.3,76,3,3,0,0,1
80961,0.305,77,0,2,0,1,1
96474,0.937,78,2,3,1,2,1
89969,0.316,79,3,1,0,0,0
85647,0.801,8,4,0,1,1,0
89969,0.275,80,0,1,0,0,0
42674,0.825,81,0,0,1,0,2
58660,0.32,82,1,0,0,2,0
96474,2.009,83,2,3,2,0,1
85739,1.835,84,3,2,2,2,1
43562,1.765,85,0,0,2,0,1
85647,0.761,86,3,0,1,2,0
176757,1.801,87,2,2,2,1,0
83285,0.851,88,3,2,1,2,2
92281,0.944,89,4,3,1,0,2
83285,2.056,9,0,2,2,2,2
83285,0.84,90,4,2,1,2,2
23530,0.258,91,2,0,0,1,1
121619,0.823,92,4,1,1,0,0
45097,0.368,93,4,1,0,1,2
96406,0.408,94,1,3,0,3,2
42674,0.806,95,3,0,1,1,2
22481,0.329,96,3,0,0,3,2
92281,2.007,97,0,3,2,1,2
96474,1.795,98,0,3,2,1,1
85739,0.727,99,2,2,1,3,1
