size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
821848,5.526,0,4,2,2,0,0
462090,1.995,1,0,0,1,2,0
462090,1.972,10,1,0,1,1,0
341384,5.415,11,2,1,2,1,1
259010,5.5,12,1,0,2,0,2
405468,0.694,13,1,2,0,1,1
333067,5.664,14,3,1,2,2,2
394935,5.852,15,0,3,2,3,2
398459,2.344,16,4,2,1,1,2
462090,2.055,17,1,0,1,3,0
404577,5.374,18,2,3,2,1,1
406496,2.123,19,1,2,1,3,1
398459,5.812,2,1,2,2,2,2
259010,5.55,20,2,0,2,3,2
398459,5.769,21,1,2,2,3,2
741044,0.607,22,3,2,0,1,0
233731,0.638,23,3,1,0,3,1
224141,0.901,24,0,1,0,0,2
341384,5.56,25,3,1,2,3,1
261378,2.02,26,4,0,1,3,1
641375,5.454,27,2,1,2,2,0
333067,2.201,28,1,1,1,1,2
233731,0.579,29,2,1,0,0,1
404577,2.065,3,3,3,1,0,1
233731,0.623,30,1,1,0,2,1
404577,2.074,31,4,3,1,3,1
854494,0.443,32,4,3,0,1,0
394935,2.314,33,4,3,1,2,2
259010,5.57,34,4,0,2,2,2
821848,2.006,35,1,2,1,0,0
862571,1.923,36,1,3,1,0,0
398459,5.757,37,0,2,2,0,2
641375,1.947,38,4,1,1,1,0
430132,0.738,39,0,3,0,0,2
741044,0.659,4,2,2,0,1,0
404577,5.498,40,0,3,2,0,1
394935,2.231,41,1,3,1,0,2
341384,2.029,42,3,1,1,2,1
405468,0.688,43,1,2,0,2,1
821848,2.173,44,2,2,1,2,0
394935,5.673,45,1,3,2,1,2
259010,5.479,46,0,0,2,2,2
224141,0.888,47,2,1,0,2,2
404577,2.056,48,3,3,1,2,1
406496,5.629,49,4,2,2,3,1
405468,0.753,5,0,2,0,3,1
641375,5.415,50,0,1,2,0,0
406496,2.044,51,3,2,1,1,1
233731,0.63,52,0,1,0,0,1
341384,5.556,53,3,1,2,2,1
261378,5.409,54,0,0,2,2,1
259010,5.45,55,3,0,2,0,2
821848,2.029,56,1,2,1,2,0
259010,5.492,57,0,0,2,3,2
224141,0.869,58,1,1,0,2,2
862571,5.397,59,3,3,2,0,0
821848,1.977,6,3,2,1,3,0
641375,5.398,60,3,1,2,2,0
261378,1.966,61,3,0,1,1,1
404577,5.419,62,2,3,2,2,1
821848,5.388,63,0,2,2,0,0
224141,0.842,64,4,1,0,0,2
406496,5.554,65,3,2,2,0,1
233731,0.622,66,3,1,0,0,1
821848,5.479,67,2,2,2,2,0
398459,5.766,68,4,2,2,3,2
398459,2.37,69,2,2,1,2,2
406496,5.521,7,2,2,2,0,1
341384,2.024,70,1,1,1,1,1
341384,2.061,71,0,1,1,2,1
138985,0.56,72,4,0,0,2,1
259010,2.115,73,2,0,1,3,2
435749,0.548,74,1,3,0,0,1
267297,0.565,75,2,0,0,1,0
435749,0.59,76,3,3,0,0,1
405468,0.762,77,0,2,0,1,1
404577,2.132,78,2,3,1,2,1
441754,0.604,79,3,1,0,0,0
462090,2.005,8,4,0,1,1,0
441754,0.575,80,0,1,0,0,0
259010,2.14,81,0,0,1,0,2
267297,0.552,82,1,0,0,2,0
404577,5.474,83,2,3,2,0,1
406496,5.502,84,3,2,2,2,1
261378,5.364,85,0,0,2,0,1
462090,1.965,86,3,0,1,2,0
821848,5.414,87,2,2,2,1,0
398459,2.348,88,3,2,1,2,2
394935,2.204,89,4,3,1,0,2
398459,5.744,9,0,2,2,2,2
398459,2.309,90,4,2,1,2,2
138985,0.557,91,2,0,0,1,1
641375,2.083,92,4,1,1,0,0
224141,0.894,93,4,1,0,1,2
430132,0.768,94,1,3,0,3,2
259010,2.154,95,3,0,1,1,2
135446,0.695,96,3,0,0,3,2
394935,5.756,97,0,3,2,1,2
404577,5.371,98,0,3,2,1,1
406496,2.134,99,2,2,1,3,1
