size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
502482,2.647,0,4,2,2,0,0
448599,1.014,1,0,0,1,2,0
448599,0.973,10,1,0,1,1,0
307447,2.658,11,2,1,2,1,1
345614,2.702,12,1,0,2,0,2
329161,0.44,13,1,2,0,1,1
305468,2.807,14,3,1,2,2,2
297288,2.685,15,0,3,2,3,2
303888,1.101,16,4,2,1,1,2
448599,1.014,17,1,0,1,3,0
298541,2.652,18,2,3,2,1,1
304159,1.116,19,1,2,1,3,1
303888,2.845,2,1,2,2,2,2
345614,2.731,20,2,0,2,3,2
303888,2.741,21,1,2,2,3,2
483525,0.384,22,3,2,0,1,0
271043,0.449,23,3,1,0,3,1
267236,0.641,24,0,1,0,0,2
307447,2.718,25,3,1,2,3,1
346656,1.041,26,4,0,1,3,1
457518,2.616,27,2,1,2,2,0
305468,1.096,28,1,1,1,1,2
271043,0.393,29,2,1,0,0,1
298541,1.022,3,3,3,1,0,1
271043,0.43,30,1,1,0,2,1
298541,1.055,31,4,3,1,3,1
506814,0.353,32,4,3,0,1,0
297288,1.138,33,4,3,1,2,2
345614,2.779,34,4,0,2,2,2
502482,1.01,35,1,2,1,0,0
503970,0.942,36,1,3,1,0,0
303888,2.72,37,0,2,2,0,2
457518,0.999,38,4,1,1,1,0
327775,0.368,39,0,3,0,0,2
483525,0.396,4,2,2,0,1,0
298541,2.713,40,0,3,2,0,1
297288,1.052,41,1,3,1,0,2
307447,1.059,42,3,1,1,2,1
329161,0.456,43,1,2,0,2,1
502482,1.069,44,2,2,1,2,0
297288,2.715,45,1,3,2,1,2
345614,2.721,46,0,0,2,2,2
267236,0.664,47,2,1,0,2,2
298541,1.052,48,3,3,1,2,1
304159,2.762,49,4,2,2,3,1
329161,0.454,5,0,2,0,3,1
457518,2.659,50,0,1,2,0,0
304159,1.08,51,3,2,1,1,1
271043,0.408,52,0,1,0,0,1
307447,2.719,53,3,1,2,2,1
346656,2.658,54,0,0,2,2,1
345614,2.691,55,3,0,2,0,2
502482,1.013,56,1,2,1,2,0
345614,2.772,57,0,0,2,3,2
267236,0.603,58,1,1,0,2,2
503970,2.623,59,3,3,2,0,0
502482,1.028,6,3,2,1,3,0
457518,2.657,60,3,1,2,2,0
346656,1.054,61,3,0,1,1,1
298541,2.633,62,2,3,2,2,1
502482,2.641,63,0,2,2,0,0
267236,0.602,64,4,1,0,0,2
304159,2.761,65,3,2,2,0,1
271043,0.457,66,3,1,0,0,1
502482,2.692,67,2,2,2,2,0
303888,2.75,68,4,2,2,3,2
303888,1.096,69,2,2,1,2,2
304159,2.673,7,2,2,2,0,1
307447,1.039,70,1,1,1,1,1
307447,1.109,71,0,1,1,2,1
241161,0.401,72,4,0,0,2,1
345614,1.169,73,2,0,1,3,2
327818,0.357,74,1,3,0,0,1
254390,0.355,75,2,0,0,1,0
327818,0.435,76,3,3,0,0,1
329161,0.449,77,0,2,0,1,1
298541,1.054,78,2,3,1,2,1
335030,0.389,79,3,1,0,0,0
448599,1.056,8,4,0,1,1,0
335030,0.409,80,0,1,0,0,0
345614,1.103,81,0,0,1,0,2
254390,0.376,82,1,0,0,2,0
298541,2.685,83,2,3,2,0,1
304159,2.707,84,3,2,2,2,1
346656,2.621,85,0,0,2,0,1
448599,0.998,86,3,0,1,2,0
502482,2.668,87,2,2,2,1,0
303888,1.12,88,3,2,1,2,2
297288,1.038,89,4,3,1,0,2
303888,2.828,9,0,2,2,2,2
303888,1.128,90,4,2,1,2,2
241161,0.375,91,2,0,0,1,1
457518,1.044,92,4,1,1,0,0
267236,0.653,93,4,1,0,1,2
327775,0.376,94,1,3,0,3,2
345614,1.152,95,3,0,1,1,2
236085,0.724,96,3,0,0,3,2
297288,2.787,97,0,3,2,1,2
298541,2.608,98,0,3,2,1,1
304159,1.088,99,2,2,1,3,1
