size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
218704,1.101,0,4,2,2,0,0
114164,0.435,1,0,0,1,2,0
114164,0.41,10,1,0,1,1,0
68402,1.07,11,2,1,2,1,1
37907,1.131,12,1,0,2,0,2
72539,0.235,13,1,2,0,1,1
65799,1.221,14,3,1,2,2,2
85930,1.258,15,0,3,2,3,2
79922,0.569,16,4,2,1,1,2
114164,0.479,17,1,0,1,3,0
89604,1.135,18,2,3,2,1,1
83492,0.497,19,1,2,1,3,1
79922,1.292,2,1,2,2,2,2
37907,1.17,20,2,0,2,3,2
79922,1.264,21,1,2,2,3,2
189808,0.195,22,3,2,0,1,0
43313,0.202,23,3,1,0,3,1
41137,0.287,24,0,1,0,0,2
68402,1.099,25,3,1,2,3,1
39336,0.517,26,4,0,1,3,1
174382,1.135,27,2,1,2,2,0
65799,0.502,28,1,1,1,1,2
43313,0.241,29,2,1,0,0,1
89604,0.453,3,3,3,1,0,1
43313,0.212,30,1,1,0,2,1
89604,0.536,31,4,3,1,3,1
231106,0.185,32,4,3,0,1,0
85930,0.648,33,4,3,1,2,2
37907,1.237,34,4,0,2,2,2
218704,0.471,35,1,2,1,0,0
239167,0.445,36,1,3,1,0,0
79922,1.361,37,0,2,2,0,2
174382,0.445,38,4,1,1,1,0
86849,0.322,39,0,3,0,0,2
189808,0.199,4,2,2,0,1,0
89604,1.162,40,0,3,2,0,1
85930,0.618,41,1,3,1,0,2
68402,0.478,42,3,1,1,2,1
72539,0.228,43,1,2,0,2,1
218704,0.481,44,2,2,1,2,0
85930,1.283,45,1,3,2,1,2
37907,1.208,46,0,0,2,2,2
41137,0.262,47,2,1,0,2,2
89604,0.482,48,3,3,1,2,1
83492,1.114,49,4,2,2,3,1
72539,0.223,5,0,2,0,3,1
174382,1.121,50,0,1,2,0,0
83492,0.465,51,3,2,1,1,1
43313,0.203,52,0,1,0,0,1
68402,1.134,53,3,1,2,2,1
39336,1.112,54,0,0,2,2,1
37907,1.16,55,3,0,2,0,2
218704,0.55,56,1,2,1,2,0
37907,1.105,57,0,0,2,3,2
41137,0.276,58,1,1,0,2,2
239167,1.07,59,3,3,2,0,0
218704,0.441,6,3,2,1,3,0
174382,1.137,60,3,1,2,2,0
39336,0.446,61,3,0,1,1,1
89604,1.193,62,2,3,2,2,1
218704,1.106,63,0,2,2,0,0
41137,0.264,64,4,1,0,0,2
83492,1.122,65,3,2,2,0,1
43313,0.205,66,3,1,0,0,1
218704,1.093,67,2,2,2,2,0
79922,1.24,68,4,2,2,3,2
79922,0.577,69,2,2,1,2,2
83492,1.114,7,2,2,2,0,1
68402,0.479,70,1,1,1,1,1
68402,0.49,71,0,1,1,2,1
17337,0.19,72,4,0,0,2,1
37907,0.503,73,2,0,1,3,2
90007,0.21,74,1,3,0,0,1
62960,0.215,75,2,0,0,1,0
90007,0.239,76,3,3,0,0,1
72539,0.241,77,0,2,0,1,1
89604,0.46,78,2,3,1,2,1
120727,0.24,79,3,1,0,0,0
114164,0.474,8,4,0,1,1,0
120727,0.202,80,0,1,0,0,0
37907,0.52,81,0,0,1,0,2
62960,0.237,82,1,0,0,2,0
89604,1.186,83,2,3,2,0,1
83492,1.153,84,3,2,2,2,1
39336,1.111,85,0,0,2,0,1
114164,0.429,86,3,0,1,2,0
218704,1.155,87,2,2,2,1,0
79922,0.605,88,3,2,1,2,2
85930,0.619,89,4,3,1,0,2
79922,1.342,9,0,2,2,2,2
79922,0.56,90,4,2,1,2,2
17337,0.206,91,2,0,0,1,1
174382,0.465,92,4,1,1,0,0
41137,0.257,93,4,1,0,1,2
86849,0.272,94,1,3,0,3,2
37907,0.572,95,3,0,1,1,2
16421,0.239,96,3,0,0,3,2
85930,1.403,97,0,3,2,1,2
89604,1.187,98,0,3,2,1,1
83492,0.497,99,2,2,1,3,1
