size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
7807647,62.783,0,4,2,2,0,0
4016438,20.707,1,0,0,1,2,0
4016438,20.639,10,1,0,1,1,0
3294608,64.107,11,2,1,2,1,1
2605681,64.984,12,1,0,2,0,2
3903232,4.553,13,1,2,0,1,1
3234209,65.674,14,3,1,2,2,2
4095972,66.382,15,0,3,2,3,2
3940495,23.626,16,4,2,1,1,2
4016438,20.796,17,1,0,1,3,0
4173136,63.361,18,2,3,2,1,1
4006368,21.199,19,1,2,1,3,1
3940495,66.247,2,1,2,2,2,2
2605681,65.103,20,2,0,2,3,2
3940495,66.341,21,1,2,2,3,2
6893277,3.803,22,3,2,0,1,0
2256949,4.716,23,3,1,0,3,1
2162914,7.536,24,0,1,0,0,2
3294608,64.19800000000001,25,3,1,2,3,1
2648574,21.703,26,4,0,1,3,1
5578472,64.056,27,2,1,2,2,0
3234209,22.871,28,1,1,1,1,2
2256949,4.577,29,2,1,0,0,1
4173136,21.14,3,3,3,1,0,1
2256949,4.598,30,1,1,0,2,1
4173136,21.237,31,4,3,1,3,1
8440082,3.179,32,4,3,0,1,0
4095972,24.018,33,4,3,1,2,2
2605681,65.343,34,4,0,2,2,2
7807647,20.324,35,1,2,1,0,0
8539817,19.654,36,1,3,1,0,0
3940495,66.063,37,0,2,2,0,2
5578472,20.937,38,4,1,1,1,0
4360311,6.145,39,0,3,0,0,2
6893277,3.925,4,2,2,0,1,0
4173136,63.2,40,0,3,2,0,1
4095972,23.346,41,1,3,1,0,2
3294608,21.49,42,3,1,1,2,1
3903232,4.603,43,1,2,0,2,1
7807647,20.48,44,2,2,1,2,0
4095972,66.17,45,1,3,2,1,2
2605681,64.971,46,0,0,2,2,2
2162914,7.581,47,2,1,0,2,2
4173136,21.112,48,3,3,1,2,1
4006368,64.055,49,4,2,2,3,1
3903232,4.667,5,0,2,0,3,1
5578472,63.711,50,0,1,2,0,0
4006368,21.56,51,3,2,1,1,1
2256949,4.539,52,0,1,0,0,1
3294608,64.19200000000001,53,3,1,2,2,1
2648574,63.42,54,0,0,2,2,1
2605681,64.825,55,3,0,2,0,2
7807647,20.527,56,1,2,1,2,0
2605681,65.035,57,0,0,2,3,2
2162914,7.662,58,1,1,0,2,2
8539817,62.492,59,3,3,2,0,0
7807647,20.99,6,3,2,1,3,0
5578472,63.653,60,3,1,2,2,0
2648574,21.511,61,3,0,1,1,1
4173136,63.052,62,2,3,2,2,1
7807647,63.441,63,0,2,2,0,0
2162914,7.449,64,4,1,0,0,2
4006368,63.483,65,3,2,2,0,1
2256949,4.555,66,3,1,0,0,1
7807647,63.302,67,2,2,2,2,0
3940495,65.73,68,4,2,2,3,2
3940495,23.201,69,2,2,1,2,2
4006368,64.066,7,2,2,2,0,1
3294608,21.405,70,1,1,1,1,1
3294608,21.268,71,0,1,1,2,1
1406341,4.222,72,4,0,0,2,1
2605681,22.444,73,2,0,1,3,2
4419048,4.069,74,1,3,0,0,1
2420552,4.014,75,2,0,0,1,0
4419048,3.988,76,3,3,0,0,1
3903232,4.64,77,0,2,0,1,1
4173136,20.567,78,2,3,1,2,1
3846398,4.153,79,3,1,0,0,0
4016438,21.359,8,4,0,1,1,0
3846398,4.144,80,0,1,0,0,0
2605681,22.31,81,0,0,1,0,2
2420552,4.038,82,1,0,0,2,0
4173136,63.244,83,2,3,2,0,1
4006368,64.204,84,3,2,2,2,1
2648574,63.449,85,0,0,2,0,1
4016438,21.276,86,3,0,1,2,0
7807647,63.447,87,2,2,2,1,0
3940495,23.778,88,3,2,1,2,2
4095972,23.937,89,4,3,1,0,2
3940495,66.309,9,0,2,2,2,2
3940495,23.709,90,4,2,1,2,2
1406341,4.262,91,2,0,0,1,1
5578472,21.033,92,4,1,1,0,0
2162914,7.565,93,4,1,0,1,2
4360311,6.361,94,1,3,0,3,2
2605681,23.036,95,3,0,1,1,2
1335470,6.711,96,3,0,0,3,2
4095972,66.066,97,0,3,2,1,2
4173136,63.618,98,0,3,2,1,1
4006368,21.146,99,2,2,1,3,1
