FILENAME,SLEEQ_DMOS,BANDING_DMOS,NOISE_DMOS,WIDTH,HEIGHT,SPATIAL_COMPLEXITY,TEMPORAL_COMPLEXITY,CHUNK_COMPLEXITY_VARIATION,COLOR_COMPLEXITY
Animation_1080P-01b3,0.0,0.521,0,1920,1080,0.098,0.004,0.017,0.005
Animation_1080P-05f8,0.198,0.18899999999999997,0.172,1920,1080,1.229,0.45399999999999996,15.962,0.794
Animation_1080P-0c4f,0.003,0.094,0.047,1920,1080,1.714,0.136,9.048,0.0
Animation_1080P-0cdf,0.05,0.121,0.111,1920,1080,1.33,0.451,3.677,0.18100000000000002
Animation_1080P-18f5,0.026000000000000002,0.094,0,1920,1080,2.452,0.13699999999999998,3.918,0.32899999999999996
Animation_1080P-209f,0.905,0.094,[NULL],1920,1080,3.325,0.012,1.266,0.0
Animation_1080P-21dd,0.09,0.094,0,1920,1080,0.7170000000000001,0.6609999999999999,1.7480000000000002,0.08800000000000001
Animation_1080P-2fbe,0.0,0.094,0,1920,1080,1.93,0.598,11.216,0.664
Animation_1080P-2fff,0.10300000000000001,0.094,0.068,1920,1080,3.491,0.455,4.565,0.469
Animation_1080P-3d67,0.0,0.094,[NULL],1920,1080,3.391,0.068,3.555,0.0
Animation_1080P-3dbf,0.102,0.096,0.113,1920,1080,0.687,0.15,1.881,0.16
Animation_1080P-3e01,0.207,0.094,0.159,1920,1080,2.084,0.085,1.307,0.071
Animation_1080P-4214,0.126,0.094,0,1920,1080,1.985,0.026000000000000002,2.182,0.019
Animation_1080P-4be3,0.035,0.094,0,1920,1080,1.7930000000000001,0.696,0.845,0.6509999999999999
Animation_1080P-4ea8,0.055999999999999994,0.16699999999999998,0.467,1920,1080,1.055,0.7290000000000001,17.421,0.157
Animation_1080P-5083,0.0,0.094,0,1920,1080,0.136,0.679,0.055,1.073
Animation_1080P-58d3,0.0,0.636,0.078,1920,1080,0.239,0.581,6.667000000000001,0.051
Animation_1080P-5dd8,0.0,0.475,0.039,1920,1080,0.40700000000000003,0.046,0.257,0.083
Animation_1080P-646f,0.132,0.094,[NULL],1920,1080,2.471,0.021,0.35200000000000004,0.18600000000000003
Animation_1080P-66ba,0.0,0.094,0,1440,1080,0.044000000000000004,0.669,0.235,0.0
Animation_1080P-6a33,0.012,0.42200000000000004,0,1920,1080,0.091,1.286,2.931,0.0
Animation_1080P-6ec0,0.02,0.319,0.091,1920,1080,0.505,0.377,7.327000000000001,0.127
Animation_1080P-7f27,0.0,0.094,0,1920,1080,0.057999999999999996,0.371,0.264,0.048
