path,name,size
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-5281.mkv,LiveMusic_360P-5281,207392038
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-54d0.mkv,LiveMusic_360P-54d0,207392038
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-1d94.mkv,LiveMusic_360P-1d94,172826740
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-6266.mkv,LiveMusic_360P-6266,207046320
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-265c.mkv,LiveMusic_360P-265c,155292675
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-3be0.mkv,LiveMusic_360P-3be0,129367443
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-3979.mkv,LiveMusic_360P-3979,207391978
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-7483.mkv,LiveMusic_360P-7483,207046320
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-3b96.mkv,LiveMusic_360P-3b96,172481090
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-22c5.mkv,LiveMusic_360P-22c5,207391976
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-2508.mkv,LiveMusic_360P-2508,207392040
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-405c.mkv,LiveMusic_360P-405c,155551962
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-6640.mkv,LiveMusic_360P-6640,165913698
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-48d5.mkv,LiveMusic_360P-48d5,207046320
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-2b0f.mkv,LiveMusic_360P-2b0f,172481070
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-121f.mkv,LiveMusic_360P-121f,207046320
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-5b57.mkv,LiveMusic_360P-5b57,172481090
/extsd/ugc_dataset/original_videos/LiveMusic/360P/LiveMusic_360P-6a65.mkv,LiveMusic_360P-6a65,129367443
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-4ae2.mkv,LiveMusic_720P-4ae2,691226760
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-71c5.mkv,LiveMusic_720P-71c5,689844310
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-3320.mkv,LiveMusic_720P-3320,828089544
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-66df.mkv,LiveMusic_720P-66df,826707090
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-0d9f.mkv,LiveMusic_720P-0d9f,691226749
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-0cd5.mkv,LiveMusic_720P-0cd5,662195276
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-6452.mkv,LiveMusic_720P-6452,829471996
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-6343.mkv,LiveMusic_720P-6343,829471996
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-2620.mkv,LiveMusic_720P-2620,829472012
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-653e.mkv,LiveMusic_720P-653e,691226760
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-65f6.mkv,LiveMusic_720P-65f6,691226776
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-58db.mkv,LiveMusic_720P-58db,691226760
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-289b.mkv,LiveMusic_720P-289b,1657560945
/extsd/ugc_dataset/original_videos/LiveMusic/720P/LiveMusic_720P-267b.mkv,LiveMusic_720P-267b,691226760
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-38f3.mkv,LiveMusic_480P-38f3,276511972
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-65ca.mkv,LiveMusic_480P-65ca,276511972
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-559d.mkv,LiveMusic_480P-559d,276051116
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-474a.mkv,LiveMusic_480P-474a,230426756
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-0638.mkv,LiveMusic_480P-0638,367482485
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-331a.mkv,LiveMusic_480P-331a,276051109
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-2a5e.mkv,LiveMusic_480P-2a5e,276051116
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-3d03.mkv,LiveMusic_480P-3d03,311071990
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-2019.mkv,LiveMusic_480P-2019,276051118
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-4c3a.mkv,LiveMusic_480P-4c3a,230426736
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-34be.mkv,LiveMusic_480P-34be,276511982
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-636e.mkv,LiveMusic_480P-636e,310553536
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-1a91.mkv,LiveMusic_480P-1a91,311071990
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-58fb.mkv,LiveMusic_480P-58fb,276051120
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-6542.mkv,LiveMusic_480P-6542,276051120
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-61ef.mkv,LiveMusic_480P-61ef,230426736
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-4f88.mkv,LiveMusic_480P-4f88,311072002
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-427e.mkv,LiveMusic_480P-427e,310553536
/extsd/ugc_dataset/original_videos/LiveMusic/480P/LiveMusic_480P-459c.mkv,LiveMusic_480P-459c,276511974
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-6fe2.mkv,LiveMusic_1080P-6fe2,1552116832
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-2930.mkv,LiveMusic_1080P-2930,1552116832
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-541f.mkv,LiveMusic_1080P-541f,1863162162
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-6bbe.mkv,LiveMusic_1080P-6bbe,1493018201
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-28fe.mkv,LiveMusic_1080P-28fe,1555227283
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-1ace.mkv,LiveMusic_1080P-1ace,1552116816
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-3e1a.mkv,LiveMusic_1080P-3e1a,1552116801
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-6d1a.mkv,LiveMusic_1080P-6d1a,1866272621
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-77e8.mkv,LiveMusic_1080P-77e8,1863162162
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-48d5.mkv,LiveMusic_1080P-48d5,1863162146
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-157b.mkv,LiveMusic_1080P-157b,1552116828
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-6b1c.mkv,LiveMusic_1080P-6b1c,1863162162
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-51f6.mkv,LiveMusic_1080P-51f6,1552116832
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-3f95.mkv,LiveMusic_1080P-3f95,1863162166
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-514e.mkv,LiveMusic_1080P-514e,1866272605
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-14af.mkv,LiveMusic_1080P-14af,1552116828
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-2b7a.mkv,LiveMusic_1080P-2b7a,1863162162
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-7ead.mkv,LiveMusic_1080P-7ead,1863162135
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-7948.mkv,LiveMusic_1080P-7948,1866272621
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-2f7f.mkv,LiveMusic_1080P-2f7f,1552116828
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-59b3.mkv,LiveMusic_1080P-59b3,1399712627
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-3549.mkv,LiveMusic_1080P-3549,1399712627
/extsd/ugc_dataset/original_videos/LiveMusic/1080P/LiveMusic_1080P-21dd.mkv,LiveMusic_1080P-21dd,1397379772
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-11d5.mkv,TelevisionClip_360P-11d5,174700289
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-3b9a.mkv,TelevisionClip_360P-3b9a,155551946
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-74dd.mkv,TelevisionClip_360P-74dd,207046304
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-29f1.mkv,TelevisionClip_360P-29f1,155292688
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-0951.mkv,TelevisionClip_360P-0951,110954848
/extsd/ugc_dataset/original_videos/TelevisionClip/360P/TelevisionClip_360P-7b23.mkv,TelevisionClip_360P-7b23,207046324
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-1b61.mkv,TelevisionClip_720P-1b61,829471998
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-31ce.mkv,TelevisionClip_720P-31ce,662195282
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-3f4c.mkv,TelevisionClip_720P-3f4c,586160248
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-19de.mkv,TelevisionClip_720P-19de,691226764
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-1862.mkv,TelevisionClip_720P-1862,828089540
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-4edb.mkv,TelevisionClip_720P-4edb,663577703
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-522a.mkv,TelevisionClip_720P-522a,691226776
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-4af1.mkv,TelevisionClip_720P-4af1,828089540
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-5e93.mkv,TelevisionClip_720P-5e93,689844322
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-7c06.mkv,TelevisionClip_720P-7c06,829471998
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-44d1.mkv,TelevisionClip_720P-44d1,829471996
/extsd/ugc_dataset/original_videos/TelevisionClip/720P/TelevisionClip_720P-2b20.mkv,TelevisionClip_720P-2b20,663577730
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-3c64.mkv,TelevisionClip_480P-3c64,276511970
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-09d8.mkv,TelevisionClip_480P-09d8,276051118
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-1b49.mkv,TelevisionClip_480P-1b49,276051116
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-436c.mkv,TelevisionClip_480P-436c,158742941
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-4c6b.mkv,TelevisionClip_480P-4c6b,311071986
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-59f0.mkv,TelevisionClip_480P-59f0,276051116
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-373d.mkv,TelevisionClip_480P-373d,310553520
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-3284.mkv,TelevisionClip_480P-3284,283423964
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-415c.mkv,TelevisionClip_480P-415c,311071990
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-30b6.mkv,TelevisionClip_480P-30b6,276511990
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-280f.mkv,TelevisionClip_480P-280f,368345049
/extsd/ugc_dataset/original_videos/TelevisionClip/480P/TelevisionClip_480P-19d3.mkv,TelevisionClip_480P-19d3,306851815
