FILENAME;category;resolution;# subjects;MOS full;MOS chunk00;MOS chunk05;MOS chunk10;std full;std chunk00;std chunk05;std chunk10
Animation_1080P-01b3;Animation;1080;125;3.649;3.589;3.851;3.192;0.468;0.574;0.745;0.681
Animation_1080P-05f8;Animation;1080;146;3.901;3.678;3.584;3.791;0.871;0.756;0.772;0.725
Animation_1080P-0c4f;Animation;1080;127;3.94;3.91;4.037;4.017;0.529;0.584;0.66;0.721
Animation_1080P-0cdf;Animation;1080;135;4.245;4.329;4.249;4.249;0.587;0.509;0.494;0.611
Animation_1080P-18f5;Animation;1080;139;4.158;4.188;3.827;4.024;0.579;0.596;0.61;0.709
Animation_1080P-209f;Animation;1080;136;4.189;4.159;3.934;4.245;0.622;0.624;0.576;0.511
Animation_1080P-21dd;Animation;1080;115;3.791;3.67;3.665;3.569;0.486;0.505;0.518;0.583
Animation_1080P-2fbe;Animation;1080;105;3.346;3.365;3.244;3.178;0.82;0.576;0.725;0.619
Animation_1080P-2fff;Animation;1080;124;4.369;4.415;4.293;4.512;0.517;0.505;0.635;0.444
Animation_1080P-3d67;Animation;1080;118;2.778;2.297;2.313;2.201;0.907;1.005;0.978;0.857
Animation_1080P-3dbf;Animation;1080;142;4.444;4.392;4.334;4.256;0.514;0.564;0.578;0.555
Animation_1080P-3e01;Animation;1080;135;4.045;4.172;4.26;4.132;0.654;0.67;0.589;0.688
Animation_1080P-4214;Animation;1080;119;3.51;3.379;3.368;3.415;0.751;0.863;0.872;0.83
Animation_1080P-4609;Animation;1080;126;4.698;4.811;4.776;4.758;0.364;0.284;0.322;0.347
Animation_1080P-4be3;Animation;1080;124;3.565;3.457;3.716;3.473;0.497;0.598;0.592;0.517
Animation_1080P-4ea8;Animation;1080;139;4.121;4.314;3.835;3.61;0.625;0.509;0.522;0.586
Animation_1080P-5083;Animation;1080;111;3.252;2.383;2.412;2.394;0.778;0.983;0.991;1.007
Animation_1080P-58d3;Animation;1080;148;4.243;4.451;3.993;4.056;0.556;0.459;0.504;0.542
Animation_1080P-5dd8;Animation;1080;115;3.958;3.946;4.006;4.233;0.562;0.552;0.62;0.494
Animation_1080P-5f3b;Animation;1080;134;4.243;4.444;4.413;4.55;0.719;0.525;0.612;0.471
Animation_1080P-646f;Animation;1080;143;3.376;3.248;3.228;3.383;0.709;0.698;0.736;0.761
Animation_1080P-66ba;Animation;1080;118;3.081;2.873;2.89;3.075;0.653;0.695;0.684;0.666
