FILENAME,category,resolution,# subjects,MOS full,MOS chunk00,MOS chunk05,MOS chunk10,std full,std chunk00,std chunk05,std chunk10,SLEEQ_DMOS,BANDING_DMOS,NOISE_DMOS,WIDTH,HEIGHT,SPATIAL_COMPLEXITY,TEMPORAL_COMPLEXITY,CHUNK_COMPLEXITY_VARIATION,COLOR_COMPLEXITY
Animation_1080P-01b3,Animation,1080,125,3.6489999999999996,3.589,3.8510000000000004,3.1919999999999997,0.46799999999999997,0.574,0.745,0.6809999999999999,0.0,0.521,0,1920.0,1080.0,0.098,0.004,0.017,0.005
Animation_1080P-05f8,Animation,1080,146,3.9010000000000002,3.678,3.5839999999999996,3.7910000000000004,0.871,0.7559999999999999,0.772,0.725,0.198,0.18899999999999997,0.172,1920.0,1080.0,1.229,0.45399999999999996,15.962,0.794
Animation_1080P-0c4f,Animation,1080,127,3.94,3.91,4.037,4.0169999999999995,0.529,0.584,0.66,0.721,0.003,0.094,0.047,1920.0,1080.0,1.714,0.136,9.048,0.0
Animation_1080P-0cdf,Animation,1080,135,4.245,4.329,4.249,4.249,0.5870000000000001,0.509,0.494,0.611,0.05,0.121,0.111,1920.0,1080.0,1.33,0.451,3.677,0.18100000000000002
Animation_1080P-18f5,Animation,1080,139,4.158,4.188,3.827,4.024,0.579,0.596,0.61,0.7090000000000001,0.026000000000000002,0.094,0,1920.0,1080.0,2.452,0.13699999999999998,3.918,0.32899999999999996
Animation_1080P-209f,Animation,1080,136,4.189,4.159,3.9339999999999997,4.245,0.622,0.624,0.5760000000000001,0.511,0.905,0.094,[NULL],1920.0,1080.0,3.325,0.012,1.266,0.0
Animation_1080P-21dd,Animation,1080,115,3.7910000000000004,3.67,3.665,3.569,0.486,0.505,0.518,0.583,0.09,0.094,0,1920.0,1080.0,0.7170000000000001,0.6609999999999999,1.7480000000000002,0.08800000000000001
Animation_1080P-2fbe,Animation,1080,105,3.346,3.365,3.2439999999999998,3.178,0.82,0.5760000000000001,0.725,0.619,0.0,0.094,0,1920.0,1080.0,1.93,0.598,11.216,0.664
Animation_1080P-2fff,Animation,1080,124,4.369,4.415,4.293,4.512,0.517,0.505,0.635,0.444,0.10300000000000001,0.094,0.068,1920.0,1080.0,3.491,0.455,4.565,0.469
Animation_1080P-3d67,Animation,1080,118,2.778,2.2969999999999997,2.313,2.201,0.907,1.005,0.978,0.857,0.0,0.094,[NULL],1920.0,1080.0,3.391,0.068,3.555,0.0
Animation_1080P-3dbf,Animation,1080,142,4.444,4.3919999999999995,4.334,4.256,0.514,0.564,0.578,0.555,0.102,0.096,0.113,1920.0,1080.0,0.687,0.15,1.881,0.16
Animation_1080P-3e01,Animation,1080,135,4.045,4.172,4.26,4.132,0.654,0.67,0.589,0.688,0.207,0.094,0.159,1920.0,1080.0,2.084,0.085,1.307,0.071
